store_name,store_city,store_location,product_name,product_category,current_stock,forecasted_units_next_7_days,safety_stock,reorder_point,needs_restock,recommended_restock_quantity,days_of_inventory_remaining,unit_margin,priority_score,priority_band,latest_stock_status,out_of_stock_flag,restock_risk_flag,store_key,product_key,product_id,store_id,demand_model_used
Maven Toys Guadalajara 4,Guadalajara,Downtown,Playfoam,Art & Crafts,1,14.616762230234288,2.9233524460468576,17.540114676281146,True,17,0.4789022281227735,7.0,115.78080273396802,High,LOW_STOCK,0,1,46,28,28,46,fallback_product_average_per_active_store
Maven Toys Saltillo 2,Saltillo,Commercial,Playfoam,Art & Crafts,1,14.616762230234288,2.9233524460468576,17.540114676281146,True,17,0.4789022281227735,7.0,115.78080273396802,High,LOW_STOCK,0,1,48,28,28,48,fallback_product_average_per_active_store
Maven Toys Saltillo 2,Saltillo,Commercial,Colorbuds,Electronics,6,16.410984577889305,3.2821969155778614,19.693181493467165,True,14,2.5592614386212422,8.0,109.54545194773732,High,LOW_STOCK,0,1,48,6,6,48,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 1,Monterrey,Residential,Playfoam,Art & Crafts,2,14.616762230234288,2.9233524460468576,17.540114676281146,True,16,0.957804456245547,7.0,108.78080273396802,High,LOW_STOCK,0,1,2,28,28,2,fallback_product_average_per_active_store
Maven Toys Mexicali 1,Mexicali,Commercial,Playfoam,Art & Crafts,2,14.616762230234288,2.9233524460468576,17.540114676281146,True,16,0.957804456245547,7.0,108.78080273396802,High,LOW_STOCK,0,1,6,28,28,6,fallback_product_average_per_active_store
Maven Toys Tuxtla Gutierrez 1,Tuxtla Gutierrez,Downtown,Playfoam,Art & Crafts,2,14.616762230234288,2.9233524460468576,17.540114676281146,True,16,0.957804456245547,7.0,108.78080273396802,High,LOW_STOCK,0,1,15,28,28,15,fallback_product_average_per_active_store
Maven Toys Mexicali 2,Mexicali,Downtown,Colorbuds,Electronics,14,22.997503283544923,4.599500656708985,27.597003940253906,True,14,4.261332145134231,8.0,108.77603152203125,High,NORMAL_STOCK,0,0,13,6,6,13,product_store_holt_winters_weekly_additive
Maven Toys Pachuca 1,Pachuca,Downtown,Nerf Gun,Sports & Outdoors,7,23.772946544468493,4.754589308893698,28.527535853362192,True,22,2.0611664569363763,5.0,107.63767926681096,High,LOW_STOCK,0,1,8,24,24,8,product_store_holt_winters_weekly_additive
Maven Toys Ciudad Victoria 1,Ciudad Victoria,Downtown,Colorbuds,Electronics,3,13.23600073165098,2.647200146330196,15.883200877981176,True,13,1.5865819612553453,8.0,103.06560702384941,High,LOW_STOCK,0,1,25,6,6,25,product_store_holt_winters_weekly_additive
Maven Toys Toluca 1,Toluca,Downtown,Playfoam,Art & Crafts,3,14.616762230234288,2.9233524460468576,17.540114676281146,True,15,1.4367066843683205,7.0,101.78080273396802,High,LOW_STOCK,0,1,17,28,28,17,fallback_product_average_per_active_store
Maven Toys Zacatecas 1,Zacatecas,Downtown,Playfoam,Art & Crafts,3,14.616762230234288,2.9233524460468576,17.540114676281146,True,15,1.4367066843683205,7.0,101.78080273396802,High,LOW_STOCK,0,1,20,28,28,20,fallback_product_average_per_active_store
Maven Toys Puebla 2,Puebla,Downtown,Playfoam,Art & Crafts,3,14.616762230234288,2.9233524460468576,17.540114676281146,True,15,1.4367066843683205,7.0,101.78080273396802,High,LOW_STOCK,0,1,28,28,28,28,fallback_product_average_per_active_store
Maven Toys Guadalajara 3,Guadalajara,Airport,Playfoam,Art & Crafts,3,14.616762230234288,2.9233524460468576,17.540114676281146,True,15,1.4367066843683205,7.0,101.78080273396802,High,LOW_STOCK,0,1,30,28,28,30,fallback_product_average_per_active_store
Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,Barrel O' Slime,Art & Crafts,10,50.45430577072307,10.090861154144614,60.54516692486768,True,51,1.3873939781888474,2.0,101.09033384973536,High,LOW_STOCK,0,1,9,3,3,9,product_store_holt_winters_weekly_additive
Maven Toys Campeche 1,Campeche,Downtown,Mini Ping Pong Set,Sports & Outdoors,16,40.29336505730029,8.058673011460058,48.35203806876035,True,33,2.779613959785372,3.0,97.05611420628105,High,NORMAL_STOCK,0,0,10,21,21,10,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 3,Cuidad de Mexico,Residential,Playfoam,Art & Crafts,4,14.616762230234288,2.9233524460468576,17.540114676281146,True,14,1.915608912491094,7.0,94.78080273396802,High,LOW_STOCK,0,1,37,28,28,37,fallback_product_average_per_active_store
Maven Toys Durango 1,Durango,Downtown,Playfoam,Art & Crafts,4,14.616762230234288,2.9233524460468576,17.540114676281146,True,14,1.915608912491094,7.0,94.78080273396802,High,LOW_STOCK,0,1,43,28,28,43,fallback_product_average_per_active_store
Maven Toys Monterrey 4,Monterrey,Commercial,Playfoam,Art & Crafts,4,14.616762230234288,2.9233524460468576,17.540114676281146,True,14,1.915608912491094,7.0,94.78080273396802,High,LOW_STOCK,0,1,47,28,28,47,fallback_product_average_per_active_store
Maven Toys Zacatecas 1,Zacatecas,Downtown,Magic Sand,Art & Crafts,2,39.89909286956688,7.979818573913376,47.878911443480256,True,46,0.3508851703913933,2.0,91.75782288696051,High,LOW_STOCK,0,1,20,19,19,20,product_store_holt_winters_weekly_additive
Maven Toys Xalapa 2,Xalapa,Downtown,Action Figure,Toys,0,12.40375612884944,2.480751225769888,14.884507354619327,True,15,0.0,6.0,89.30704412771595,High,OUT_OF_STOCK,1,1,39,1,1,39,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 2,Monterrey,Downtown,Colorbuds,Electronics,10,17.60744846657559,3.521489693315118,21.12893815989071,True,12,3.9755902243804235,8.0,89.03150527912567,High,LOW_STOCK,0,1,7,6,6,7,product_store_holt_winters_weekly_additive
Maven Toys Hermosillo 1,Hermosillo,Residential,Playfoam,Art & Crafts,5,14.616762230234288,2.9233524460468576,17.540114676281146,True,13,2.3945111406138673,7.0,87.78080273396802,High,LOW_STOCK,0,1,32,28,28,32,fallback_product_average_per_active_store
Maven Toys Monterrey 3,Monterrey,Airport,Playfoam,Art & Crafts,5,14.616762230234288,2.9233524460468576,17.540114676281146,True,13,2.3945111406138673,7.0,87.78080273396802,High,LOW_STOCK,0,1,33,28,28,33,fallback_product_average_per_active_store
Maven Toys Toluca 1,Toluca,Downtown,Etch A Sketch,Art & Crafts,6,12.26661595931302,2.453323191862604,14.719939151175623,True,9,3.423927197142982,10.0,87.19939151175623,High,LOW_STOCK,0,1,17,11,11,17,product_store_holt_winters_weekly_additive
Maven Toys Guanajuato 1,Guanajuato,Downtown,Mini Ping Pong Set,Sports & Outdoors,0,22.463500603234973,4.492700120646995,26.956200723881967,True,27,0.0,3.0,80.8686021716459,High,OUT_OF_STOCK,1,1,14,21,21,14,product_store_holt_winters_weekly_additive
Maven Toys Saltillo 1,Saltillo,Downtown,Playfoam,Art & Crafts,6,14.616762230234288,2.9233524460468576,17.540114676281146,True,12,2.873413368736641,7.0,80.78080273396802,High,LOW_STOCK,0,1,4,28,28,4,fallback_product_average_per_active_store
Maven Toys Puebla 1,Puebla,Commercial,Playfoam,Art & Crafts,6,14.616762230234288,2.9233524460468576,17.540114676281146,True,12,2.873413368736641,7.0,80.78080273396802,High,LOW_STOCK,0,1,19,28,28,19,fallback_product_average_per_active_store
Maven Toys Hermosillo 2,Hermosillo,Downtown,Lego Bricks,Toys,9,20.92449955519488,4.184899911038976,25.109399466233857,True,17,3.010824695415911,5.0,80.54699733116928,High,LOW_STOCK,0,1,41,18,18,41,product_store_holt_winters_weekly_additive
Maven Toys La Paz 1,La Paz,Downtown,Mini Ping Pong Set,Sports & Outdoors,0,22.246245982684496,4.4492491965369,26.695495179221396,True,27,0.0,3.0,80.08648553766419,High,OUT_OF_STOCK,1,1,5,21,21,5,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 3,Monterrey,Airport,Gamer Headphones,Electronics,0,11.05754776981058,2.211509553962116,13.269057323772696,True,14,0.0,6.0,79.61434394263617,High,OUT_OF_STOCK,1,1,33,13,13,33,product_store_holt_winters_weekly_additive
Maven Toys Saltillo 1,Saltillo,Downtown,Magic Sand,Art & Crafts,2,34.24210384543304,6.848420769086609,41.09052461451965,True,40,0.4088533830513225,2.0,78.1810492290393,High,LOW_STOCK,0,1,4,19,19,4,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 2,Monterrey,Downtown,Barrel O' Slime,Art & Crafts,10,39.75011473811161,7.9500229476223225,47.700137685733935,True,38,1.761001206189863,2.0,75.40027537146787,High,LOW_STOCK,0,1,7,3,3,7,product_store_holt_winters_weekly_additive
Maven Toys Mexicali 2,Mexicali,Downtown,Barrel O' Slime,Art & Crafts,3,33.26939670087072,6.653879340174145,39.923276041044865,True,37,0.6312107246432392,2.0,73.84655208208973,High,LOW_STOCK,0,1,13,3,3,13,product_store_holt_winters_weekly_additive
Maven Toys Santiago 1,Santiago,Downtown,Playfoam,Art & Crafts,7,14.616762230234288,2.9233524460468576,17.540114676281146,True,11,3.3523155968594143,7.0,73.78080273396802,High,LOW_STOCK,0,1,21,28,28,21,fallback_product_average_per_active_store
Maven Toys Morelia 1,Morelia,Downtown,Playfoam,Art & Crafts,7,14.616762230234288,2.9233524460468576,17.540114676281146,True,11,3.3523155968594143,7.0,73.78080273396802,High,LOW_STOCK,0,1,36,28,28,36,fallback_product_average_per_active_store
Maven Toys Saltillo 2,Saltillo,Commercial,Glass Marbles,Games,11,21.2422250581705,4.2484450116341,25.4906700698046,True,15,3.624855672564448,5.0,72.453350349023,High,NORMAL_STOCK,0,0,48,14,14,48,product_store_holt_winters_weekly_additive
Maven Toys Mexicali 2,Mexicali,Downtown,Action Figure,Toys,0,9.841713511100188,1.9683427022200377,11.810056213320227,True,12,0.0,6.0,70.86033727992137,High,OUT_OF_STOCK,1,1,13,1,1,13,product_store_holt_winters_weekly_additive
Maven Toys Mexicali 1,Mexicali,Commercial,Action Figure,Toys,0,9.70722521888202,1.941445043776404,11.648670262658424,True,12,0.0,6.0,69.89202157595054,High,OUT_OF_STOCK,1,1,6,1,1,6,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 3,Cuidad de Mexico,Residential,Lego Bricks,Toys,6,16.590048265190454,3.318009653038091,19.908057918228543,True,14,2.5316382043399583,5.0,69.54028959114271,High,LOW_STOCK,0,1,37,18,18,37,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 2,Monterrey,Downtown,Playdoh Can,Art & Crafts,10,66.09254244476126,13.218508488952253,79.31105093371352,True,70,1.059121005346473,1.0,69.31105093371352,High,LOW_STOCK,0,1,7,25,25,7,product_store_holt_winters_weekly_additive
Maven Toys Villahermosa 1,Villahermosa,Downtown,Lego Bricks,Toys,12,21.420289164236326,4.284057832847266,25.70434699708359,True,14,3.9215156880443893,5.0,68.52173498541795,High,NORMAL_STOCK,0,0,34,18,18,34,product_store_holt_winters_weekly_additive
Maven Toys Zacatecas 1,Zacatecas,Downtown,Etch A Sketch,Art & Crafts,3,8.201422813554911,1.6402845627109823,9.841707376265894,True,7,2.5605313221130634,10.0,68.41707376265894,High,LOW_STOCK,0,1,20,11,11,20,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 3,Cuidad de Mexico,Residential,Kids Makeup Kit,Art & Crafts,7,15.323210558274315,3.064642111654863,18.387852669929178,True,12,3.197763276413421,6.0,68.32711601957507,High,LOW_STOCK,0,1,37,17,17,37,product_store_holt_winters_weekly_additive
Maven Toys Ciudad Victoria 1,Ciudad Victoria,Downtown,Etch A Sketch,Art & Crafts,3,8.140459350800008,1.6280918701600016,9.76855122096001,True,7,2.579707003627039,10.0,67.68551220960009,High,LOW_STOCK,0,1,25,11,11,25,product_store_holt_winters_weekly_additive
Maven Toys Hermosillo 2,Hermosillo,Downtown,Kids Makeup Kit,Art & Crafts,3,11.880213811743973,2.3760427623487947,14.256256574092767,True,12,1.767644954271852,6.0,67.5375394445566,High,LOW_STOCK,0,1,41,17,17,41,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 2,Cuidad de Mexico,Airport,Action Figure,Toys,5,13.483824738119138,2.696764947623828,16.180589685742966,True,12,2.595702679303896,6.0,67.0835381144578,High,LOW_STOCK,0,1,31,1,1,31,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 1,Monterrey,Residential,Action Figure,Toys,0,9.310629234703956,1.8621258469407913,11.172755081644748,True,12,0.0,6.0,67.03653048986848,High,OUT_OF_STOCK,1,1,2,1,1,2,product_store_holt_winters_weekly_additive
Maven Toys Oaxaca 1,Oaxaca,Downtown,Playfoam,Art & Crafts,8,14.616762230234288,2.9233524460468576,17.540114676281146,True,10,3.831217824982188,7.0,66.78080273396802,High,LOW_STOCK,0,1,27,28,28,27,fallback_product_average_per_active_store
Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,Lego Bricks,Toys,8,17.70165531220617,3.5403310624412345,21.241986374647404,True,14,3.163545951625508,5.0,66.20993187323703,High,LOW_STOCK,0,1,9,18,18,9,product_store_holt_winters_weekly_additive
Maven Toys Guanajuato 1,Guanajuato,Downtown,Playdoh Can,Art & Crafts,15,65.54141298820687,13.108282597641375,78.64969558584825,True,64,1.6020405299912144,1.0,63.64969558584825,High,NORMAL_STOCK,0,0,14,25,25,14,product_store_holt_winters_weekly_additive
Maven Toys Xalapa 2,Xalapa,Downtown,Etch A Sketch,Art & Crafts,2,6.904287263867463,1.3808574527734927,8.285144716640955,True,7,2.0277255949744255,10.0,62.85144716640956,High,LOW_STOCK,0,1,39,11,11,39,product_store_holt_winters_weekly_additive
Maven Toys Puebla 1,Puebla,Commercial,Barrel O' Slime,Art & Crafts,7,31.516358831738128,6.303271766347626,37.81963059808575,True,31,1.554748131330933,2.0,61.6392611961715,High,LOW_STOCK,0,1,19,3,3,19,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,Playfoam,Art & Crafts,9,14.616762230234288,2.9233524460468576,17.540114676281146,True,9,4.310120053104961,7.0,59.78080273396802,High,LOW_STOCK,0,1,9,28,28,9,fallback_product_average_per_active_store
Maven Toys Mexicali 2,Mexicali,Downtown,Animal Figures,Toys,2,18.221715227804665,3.6443430455609334,21.8660582733656,True,20,0.76831405962471,3.0,59.5981748200968,High,LOW_STOCK,0,1,13,2,2,13,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 1,Monterrey,Residential,Barrel O' Slime,Art & Crafts,18,38.78687981077523,7.757375962155047,46.54425577293028,True,29,3.248521165267757,2.0,57.088511545860555,High,NORMAL_STOCK,0,0,2,3,3,2,product_store_holt_winters_weekly_additive
Maven Toys Puebla 2,Puebla,Downtown,Etch A Sketch,Art & Crafts,4,8.075957371470338,1.6151914742940676,9.691148845764406,True,6,3.4670812031418903,10.0,56.91148845764406,High,LOW_STOCK,0,1,28,11,11,28,product_store_holt_winters_weekly_additive
Maven Toys Xalapa 2,Xalapa,Downtown,Barrel O' Slime,Art & Crafts,13,34.32379346414514,6.864758692829028,41.18855215697417,True,29,2.6512221061771393,2.0,56.37710431394834,High,NORMAL_STOCK,0,0,39,3,3,39,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 2,Monterrey,Downtown,Magic Sand,Art & Crafts,24,43.45660511478974,8.691321022957949,52.14792613774769,True,29,3.865925549320556,2.0,56.29585227549538,High,NORMAL_STOCK,0,0,7,19,19,7,product_store_holt_winters_weekly_additive
Maven Toys Xalapa 1,Xalapa,Commercial,Gamer Headphones,Electronics,5,11.908148298997098,2.3816296597994198,14.289777958796517,True,10,2.9391639339046267,6.0,55.7386677527791,High,LOW_STOCK,0,1,29,13,13,29,product_store_holt_winters_weekly_additive
Maven Toys Pachuca 1,Pachuca,Downtown,Gamer Headphones,Electronics,0,7.618334330856168,1.5236668661712338,9.142001197027401,True,10,0.0,6.0,54.85200718216441,High,OUT_OF_STOCK,1,1,8,13,13,8,product_store_holt_winters_weekly_additive
Maven Toys Chihuahua 2,Chihuahua,Downtown,Magic Sand,Art & Crafts,7,28.1856380108416,5.63712760216832,33.82276561300992,True,27,1.7384740406143069,2.0,53.64553122601984,High,LOW_STOCK,0,1,38,19,19,38,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 3,Monterrey,Airport,Lego Bricks,Toys,15,21.412994048252525,4.282598809650505,25.69559285790303,True,11,4.903564618912733,5.0,53.47796428951515,High,NORMAL_STOCK,0,0,33,18,18,33,product_store_holt_winters_weekly_additive
Maven Toys Xalapa 2,Xalapa,Downtown,Magic Sand,Art & Crafts,9,29.675948749247127,5.9351897498494255,35.611138499096555,True,27,2.1229312846012482,2.0,53.22227699819311,High,LOW_STOCK,0,1,39,19,19,39,product_store_holt_winters_weekly_additive
Maven Toys Guadalajara 1,Guadalajara,Residential,Playfoam,Art & Crafts,10,14.616762230234288,2.9233524460468576,17.540114676281146,True,8,4.7890222812277345,7.0,52.78080273396802,High,LOW_STOCK,0,1,1,28,28,1,fallback_product_average_per_active_store
Maven Toys Guadalajara 2,Guadalajara,Commercial,Playfoam,Art & Crafts,10,14.616762230234288,2.9233524460468576,17.540114676281146,True,8,4.7890222812277345,7.0,52.78080273396802,High,LOW_STOCK,0,1,3,28,28,3,fallback_product_average_per_active_store
Maven Toys Chetumal 1,Chetumal,Downtown,Playfoam,Art & Crafts,10,14.616762230234288,2.9233524460468576,17.540114676281146,True,8,4.7890222812277345,7.0,52.78080273396802,High,LOW_STOCK,0,1,12,28,28,12,fallback_product_average_per_active_store
Maven Toys Ciudad de Mexico 2,Cuidad de Mexico,Airport,Playfoam,Art & Crafts,10,14.616762230234288,2.9233524460468576,17.540114676281146,True,8,4.7890222812277345,7.0,52.78080273396802,High,LOW_STOCK,0,1,31,28,28,31,fallback_product_average_per_active_store
Maven Toys Culiacan 1,Culiacan,Downtown,Playfoam,Art & Crafts,10,14.616762230234288,2.9233524460468576,17.540114676281146,True,8,4.7890222812277345,7.0,52.78080273396802,High,LOW_STOCK,0,1,49,28,28,49,fallback_product_average_per_active_store
Maven Toys Hermosillo 2,Hermosillo,Downtown,Gamer Headphones,Electronics,6,12.206220456015052,2.4412440912030107,14.647464547218062,True,9,3.4408685433256285,6.0,51.88478728330837,High,LOW_STOCK,0,1,41,13,13,41,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 2,Cuidad de Mexico,Airport,Mini Ping Pong Set,Sports & Outdoors,6,19.356508302754392,3.8713016605508788,23.22780996330527,True,18,2.169812826935501,3.0,51.68342988991581,High,LOW_STOCK,0,1,31,21,21,31,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 2,Cuidad de Mexico,Airport,Jenga,Games,0,6.14193319265447,1.2283866385308941,7.370319831185364,True,8,0.0,7.0,51.59223881829755,High,unknown,1,1,31,16,16,31,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 4,Monterrey,Commercial,Lego Bricks,Toys,12,18.573209640987763,3.714641928197553,22.287851569185314,True,11,4.522643184655977,5.0,51.43925784592657,High,NORMAL_STOCK,0,0,47,18,18,47,product_store_holt_winters_weekly_additive
Maven Toys Guadalajara 3,Guadalajara,Airport,Etch A Sketch,Art & Crafts,3,6.756292007340416,1.3512584014680833,8.1075504088085,True,6,3.108213792000763,10.0,51.075504088085,High,LOW_STOCK,0,1,30,11,11,30,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 2,Cuidad de Mexico,Airport,Barrel O' Slime,Art & Crafts,36,51.28042039106428,10.256084078212858,61.53650446927714,True,26,4.9141562818371805,2.0,51.07300893855428,High,NORMAL_STOCK,0,0,31,3,3,31,product_store_holt_winters_weekly_additive
Maven Toys Monterrey 4,Monterrey,Commercial,Jenga,Games,0,6.035186373769277,1.2070372747538556,7.242223648523133,True,8,0.0,7.0,50.69556553966193,High,unknown,1,1,47,16,16,47,product_store_holt_winters_weekly_additive
Maven Toys Guadalajara 3,Guadalajara,Airport,Barrel O' Slime,Art & Crafts,10,28.835839877561828,5.767167975512366,34.603007853074196,True,25,2.427534633886958,2.0,49.20601570614839,High,LOW_STOCK,0,1,30,3,3,30,product_store_holt_winters_weekly_additive
Maven Toys Hermosillo 3,Hermosillo,Commercial,Etch A Sketch,Art & Crafts,20,20.750599000203724,4.150119800040745,24.90071880024447,True,5,6.746793188891825,10.0,49.00718800244469,High,NORMAL_STOCK,0,0,42,11,11,42,product_store_holt_winters_weekly_additive
Maven Toys Ciudad de Mexico 3,Cuidad de Mexico,Residential,Animal Figures,Toys,3,15.908816505239315,3.181763301047863,19.090579806287177,True,17,1.3200227680722816,3.0,48.27173941886153,High,LOW_STOCK,0,1,37,2,2,37,product_store_holt_winters_weekly_additive
Maven Toys Guanajuato 2,Guanajuato,Commercial,Playdoh Can,Art & Crafts,6,44.94854910194093,8.989709820388185,53.93825892232911,True,48,0.9344016845737607,1.0,47.93825892232911,High,LOW_STOCK,0,1,22,25,25,22,product_store_holt_winters_weekly_additive
