date,product_key,product_id,product_name,product_category,units,revenue,gross_profit,unit_margin,product_margin
2022-01-02,18,18,Lego Bricks,Toys,55,2199.4500000000003,275.0,5.0,5.0
2022-01-02,21,21,Mini Ping Pong Set,Sports & Outdoors,32,319.68,96.0,3.0,3.0
2022-01-02,24,24,Nerf Gun,Sports & Outdoors,12,239.88,60.0,5.0,5.0
2022-01-02,25,25,Playdoh Can,Art & Crafts,46,137.54000000000002,46.0,1.0,1.0
2022-01-02,27,27,Playdoh Toolkit,Art & Crafts,94,469.06,94.0,1.0,1.0
2022-01-02,30,30,Rubik's Cube,Games,46,919.54,92.0,2.0,2.0
2022-01-02,31,31,Splash Balls,Sports & Outdoors,71,638.29,71.0,1.0,1.0
2022-01-02,33,33,Teddy Bear,Toys,15,194.85,30.0,2.0,2.0
2022-01-02,34,34,Toy Robot,Electronics,27,701.7299999999999,135.0,5.0,5.0
2022-01-03,1,1,Action Figure,Toys,22,351.78000000000003,132.0,6.0,6.0
2022-01-03,2,2,Animal Figures,Toys,26,337.74,78.0,3.0,3.0
2022-01-03,3,3,Barrel O' Slime,Art & Crafts,11,43.89,22.0,2.0,2.0
2022-01-03,4,4,Chutes & Ladders,Games,8,103.92,24.0,3.0,3.0
2022-01-03,5,5,Classic Dominoes,Games,3,29.97,6.0,2.0,2.0
2022-01-03,6,6,Colorbuds,Electronics,168,2518.32,1344.0,8.0,8.0
2022-01-03,7,7,Dart Gun,Sports & Outdoors,75,1199.25,300.0,4.0,4.0
2022-01-03,8,8,Deck Of Cards,Games,53,370.47,159.0,3.0,3.0
2022-01-03,9,9,Dino Egg,Toys,28,307.72,28.0,1.0,1.0
2022-01-03,10,10,Dinosaur Figures,Toys,26,389.74,104.0,4.0,4.0
2022-01-03,14,14,Glass Marbles,Games,27,296.73,135.0,5.0,5.0
2022-01-03,17,17,Kids Makeup Kit,Art & Crafts,41,819.5899999999999,246.0,6.0,6.0
2022-01-03,18,18,Lego Bricks,Toys,69,2759.31,345.0,5.0,5.0
2022-01-03,21,21,Mini Ping Pong Set,Sports & Outdoors,8,79.92,24.0,3.0,3.0
2022-01-03,22,22,Monopoly,Games,11,219.89,66.0,6.0,6.0
2022-01-03,24,24,Nerf Gun,Sports & Outdoors,29,579.7099999999999,145.0,5.0,5.0
2022-01-03,25,25,Playdoh Can,Art & Crafts,15,44.85,15.0,1.0,1.0
2022-01-03,27,27,Playdoh Toolkit,Art & Crafts,35,174.65,35.0,1.0,1.0
2022-01-03,30,30,Rubik's Cube,Games,20,399.79999999999995,40.0,2.0,2.0
2022-01-03,31,31,Splash Balls,Sports & Outdoors,43,386.57,43.0,1.0,1.0
2022-01-03,33,33,Teddy Bear,Toys,18,233.82,36.0,2.0,2.0
2022-01-03,35,35,Uno Card Game,Games,14,111.86,56.0,4.0,4.0
2022-01-04,1,1,Action Figure,Toys,58,927.42,348.0,6.0,6.0
2022-01-04,2,2,Animal Figures,Toys,56,727.44,168.0,3.0,3.0
2022-01-04,3,3,Barrel O' Slime,Art & Crafts,21,83.79,42.0,2.0,2.0
2022-01-04,6,6,Colorbuds,Electronics,250,3747.5,2000.0,8.0,8.0
2022-01-04,7,7,Dart Gun,Sports & Outdoors,29,463.71,116.0,4.0,4.0
2022-01-04,8,8,Deck Of Cards,Games,88,615.12,264.0,3.0,3.0
2022-01-04,9,9,Dino Egg,Toys,22,241.78,22.0,1.0,1.0
2022-01-04,10,10,Dinosaur Figures,Toys,59,884.41,236.0,4.0,4.0
2022-01-04,14,14,Glass Marbles,Games,22,241.78,110.0,5.0,5.0
2022-01-04,17,17,Kids Makeup Kit,Art & Crafts,70,1399.3,420.0,6.0,6.0
2022-01-04,18,18,Lego Bricks,Toys,43,1719.5700000000002,215.0,5.0,5.0
2022-01-04,20,20,Mini Basketball Hoop,Sports & Outdoors,56,1399.44,896.0,16.0,16.0
2022-01-04,21,21,Mini Ping Pong Set,Sports & Outdoors,41,409.59,123.0,3.0,3.0
2022-01-04,22,22,Monopoly,Games,4,79.96,24.0,6.0,6.0
2022-01-04,24,24,Nerf Gun,Sports & Outdoors,12,239.88,60.0,5.0,5.0
2022-01-04,25,25,Playdoh Can,Art & Crafts,35,104.65,35.0,1.0,1.0
2022-01-04,27,27,Playdoh Toolkit,Art & Crafts,9,44.910000000000004,9.0,1.0,1.0
2022-01-04,30,30,Rubik's Cube,Games,33,659.67,66.0,2.0,2.0
2022-01-04,31,31,Splash Balls,Sports & Outdoors,31,278.69,31.0,1.0,1.0
2022-01-04,34,34,Toy Robot,Electronics,21,545.79,105.0,5.0,5.0
2022-01-05,1,1,Action Figure,Toys,160,2558.4,960.0,6.0,6.0
2022-01-05,2,2,Animal Figures,Toys,27,350.73,81.0,3.0,3.0
2022-01-05,4,4,Chutes & Ladders,Games,6,77.94,18.0,3.0,3.0
2022-01-05,5,5,Classic Dominoes,Games,30,299.7,60.0,2.0,2.0
2022-01-05,6,6,Colorbuds,Electronics,314,4706.86,2512.0,8.0,8.0
2022-01-05,7,7,Dart Gun,Sports & Outdoors,67,1071.33,268.0,4.0,4.0
2022-01-05,8,8,Deck Of Cards,Games,116,810.84,348.0,3.0,3.0
2022-01-05,9,9,Dino Egg,Toys,125,1373.75,125.0,1.0,1.0
2022-01-05,10,10,Dinosaur Figures,Toys,21,314.79,84.0,4.0,4.0
2022-01-05,14,14,Glass Marbles,Games,46,505.54,230.0,5.0,5.0
2022-01-05,17,17,Kids Makeup Kit,Art & Crafts,56,1119.4399999999998,336.0,6.0,6.0
2022-01-05,18,18,Lego Bricks,Toys,45,1799.5500000000002,225.0,5.0,5.0
2022-01-05,21,21,Mini Ping Pong Set,Sports & Outdoors,34,339.66,102.0,3.0,3.0
2022-01-05,24,24,Nerf Gun,Sports & Outdoors,21,419.78999999999996,105.0,5.0,5.0
2022-01-05,25,25,Playdoh Can,Art & Crafts,41,122.59,41.0,1.0,1.0
2022-01-05,27,27,Playdoh Toolkit,Art & Crafts,81,404.19,81.0,1.0,1.0
2022-01-05,30,30,Rubik's Cube,Games,120,2398.7999999999997,240.0,2.0,2.0
2022-01-05,31,31,Splash Balls,Sports & Outdoors,26,233.74,26.0,1.0,1.0
2022-01-05,34,34,Toy Robot,Electronics,34,883.66,170.0,5.0,5.0
2022-01-06,1,1,Action Figure,Toys,219,3501.81,1314.0,6.0,6.0
2022-01-06,2,2,Animal Figures,Toys,81,1052.19,243.0,3.0,3.0
2022-01-06,5,5,Classic Dominoes,Games,11,109.89,22.0,2.0,2.0
2022-01-06,6,6,Colorbuds,Electronics,189,2833.11,1512.0,8.0,8.0
2022-01-06,7,7,Dart Gun,Sports & Outdoors,235,3757.65,940.0,4.0,4.0
2022-01-06,8,8,Deck Of Cards,Games,110,768.9,330.0,3.0,3.0
2022-01-06,9,9,Dino Egg,Toys,145,1593.55,145.0,1.0,1.0
2022-01-06,10,10,Dinosaur Figures,Toys,67,1004.33,268.0,4.0,4.0
2022-01-06,14,14,Glass Marbles,Games,83,912.17,415.0,5.0,5.0
2022-01-06,17,17,Kids Makeup Kit,Art & Crafts,114,2278.8599999999997,684.0,6.0,6.0
2022-01-06,18,18,Lego Bricks,Toys,39,1559.6100000000001,195.0,5.0,5.0
2022-01-06,20,20,Mini Basketball Hoop,Sports & Outdoors,7,174.92999999999998,112.0,16.0,16.0
2022-01-06,21,21,Mini Ping Pong Set,Sports & Outdoors,56,559.44,168.0,3.0,3.0
2022-01-06,22,22,Monopoly,Games,1,19.99,6.0,6.0,6.0
2022-01-06,24,24,Nerf Gun,Sports & Outdoors,79,1579.2099999999998,395.0,5.0,5.0
2022-01-06,25,25,Playdoh Can,Art & Crafts,24,71.76,24.0,1.0,1.0
2022-01-06,27,27,Playdoh Toolkit,Art & Crafts,132,658.6800000000001,132.0,1.0,1.0
2022-01-06,30,30,Rubik's Cube,Games,67,1339.33,134.0,2.0,2.0
2022-01-06,31,31,Splash Balls,Sports & Outdoors,13,116.87,13.0,1.0,1.0
2022-01-06,33,33,Teddy Bear,Toys,10,129.9,20.0,2.0,2.0
2022-01-06,34,34,Toy Robot,Electronics,64,1663.36,320.0,5.0,5.0
2022-01-07,1,1,Action Figure,Toys,38,607.62,228.0,6.0,6.0
2022-01-07,2,2,Animal Figures,Toys,134,1740.66,402.0,3.0,3.0
2022-01-07,4,4,Chutes & Ladders,Games,3,38.97,9.0,3.0,3.0
2022-01-07,5,5,Classic Dominoes,Games,7,69.93,14.0,2.0,2.0
2022-01-07,6,6,Colorbuds,Electronics,230,3447.7,1840.0,8.0,8.0
2022-01-07,7,7,Dart Gun,Sports & Outdoors,77,1231.23,308.0,4.0,4.0
2022-01-07,8,8,Deck Of Cards,Games,85,594.15,255.0,3.0,3.0
2022-01-07,9,9,Dino Egg,Toys,115,1263.85,115.0,1.0,1.0
2022-01-07,10,10,Dinosaur Figures,Toys,4,59.96,16.0,4.0,4.0
2022-01-07,14,14,Glass Marbles,Games,53,582.47,265.0,5.0,5.0
2022-01-07,17,17,Kids Makeup Kit,Art & Crafts,76,1519.2399999999998,456.0,6.0,6.0
2022-01-07,18,18,Lego Bricks,Toys,101,4038.9900000000002,505.0,5.0,5.0
2022-01-07,20,20,Mini Basketball Hoop,Sports & Outdoors,6,149.94,96.0,16.0,16.0
2022-01-07,21,21,Mini Ping Pong Set,Sports & Outdoors,50,499.5,150.0,3.0,3.0
2022-01-07,24,24,Nerf Gun,Sports & Outdoors,27,539.7299999999999,135.0,5.0,5.0
2022-01-07,25,25,Playdoh Can,Art & Crafts,30,89.7,30.0,1.0,1.0
2022-01-07,27,27,Playdoh Toolkit,Art & Crafts,121,603.7900000000001,121.0,1.0,1.0
2022-01-07,30,30,Rubik's Cube,Games,86,1719.1399999999999,172.0,2.0,2.0
2022-01-07,31,31,Splash Balls,Sports & Outdoors,23,206.77,23.0,1.0,1.0
2022-01-07,33,33,Teddy Bear,Toys,1,12.99,2.0,2.0,2.0
2022-01-07,34,34,Toy Robot,Electronics,112,2910.8799999999997,560.0,5.0,5.0
2022-01-08,1,1,Action Figure,Toys,138,2206.62,828.0,6.0,6.0
2022-01-08,2,2,Animal Figures,Toys,55,714.45,165.0,3.0,3.0
2022-01-08,3,3,Barrel O' Slime,Art & Crafts,12,47.88,24.0,2.0,2.0
2022-01-08,4,4,Chutes & Ladders,Games,12,155.88,36.0,3.0,3.0
2022-01-08,5,5,Classic Dominoes,Games,41,409.59000000000003,82.0,2.0,2.0
2022-01-08,6,6,Colorbuds,Electronics,337,5051.63,2696.0,8.0,8.0
2022-01-08,7,7,Dart Gun,Sports & Outdoors,112,1790.88,448.0,4.0,4.0
2022-01-08,8,8,Deck Of Cards,Games,332,2320.68,996.0,3.0,3.0
2022-01-08,9,9,Dino Egg,Toys,106,1164.94,106.0,1.0,1.0
2022-01-08,10,10,Dinosaur Figures,Toys,35,524.65,140.0,4.0,4.0
2022-01-08,14,14,Glass Marbles,Games,108,1186.92,540.0,5.0,5.0
2022-01-08,17,17,Kids Makeup Kit,Art & Crafts,24,479.76,144.0,6.0,6.0
2022-01-08,18,18,Lego Bricks,Toys,20,799.8000000000001,100.0,5.0,5.0
2022-01-08,21,21,Mini Ping Pong Set,Sports & Outdoors,66,659.34,198.0,3.0,3.0
2022-01-08,22,22,Monopoly,Games,6,119.94,36.0,6.0,6.0
2022-01-08,24,24,Nerf Gun,Sports & Outdoors,18,359.82,90.0,5.0,5.0
2022-01-08,25,25,Playdoh Can,Art & Crafts,105,313.95000000000005,105.0,1.0,1.0
2022-01-08,27,27,Playdoh Toolkit,Art & Crafts,59,294.41,59.0,1.0,1.0
2022-01-08,30,30,Rubik's Cube,Games,97,1939.03,194.0,2.0,2.0
2022-01-08,31,31,Splash Balls,Sports & Outdoors,59,530.41,59.0,1.0,1.0
2022-01-08,33,33,Teddy Bear,Toys,25,324.75,50.0,2.0,2.0
2022-01-08,34,34,Toy Robot,Electronics,33,857.67,165.0,5.0,5.0
2022-01-09,1,1,Action Figure,Toys,135,2158.65,810.0,6.0,6.0
2022-01-09,3,3,Barrel O' Slime,Art & Crafts,5,19.950000000000003,10.0,2.0,2.0
2022-01-09,5,5,Classic Dominoes,Games,4,39.96,8.0,2.0,2.0
2022-01-09,6,6,Colorbuds,Electronics,304,4556.96,2432.0,8.0,8.0
2022-01-09,7,7,Dart Gun,Sports & Outdoors,8,127.92,32.0,4.0,4.0
2022-01-09,8,8,Deck Of Cards,Games,89,622.11,267.0,3.0,3.0
2022-01-09,9,9,Dino Egg,Toys,19,208.81,19.0,1.0,1.0
2022-01-09,10,10,Dinosaur Figures,Toys,29,434.71,116.0,4.0,4.0
2022-01-09,14,14,Glass Marbles,Games,5,54.95,25.0,5.0,5.0
2022-01-09,17,17,Kids Makeup Kit,Art & Crafts,9,179.91,54.0,6.0,6.0
2022-01-09,18,18,Lego Bricks,Toys,39,1559.6100000000001,195.0,5.0,5.0
2022-01-09,22,22,Monopoly,Games,13,259.87,78.0,6.0,6.0
2022-01-09,24,24,Nerf Gun,Sports & Outdoors,8,159.92,40.0,5.0,5.0
2022-01-09,25,25,Playdoh Can,Art & Crafts,19,56.81,19.0,1.0,1.0
2022-01-09,27,27,Playdoh Toolkit,Art & Crafts,43,214.57000000000002,43.0,1.0,1.0
2022-01-09,30,30,Rubik's Cube,Games,33,659.67,66.0,2.0,2.0
2022-01-09,31,31,Splash Balls,Sports & Outdoors,39,350.61,39.0,1.0,1.0
2022-01-09,33,33,Teddy Bear,Toys,18,233.82,36.0,2.0,2.0
2022-01-09,34,34,Toy Robot,Electronics,14,363.85999999999996,70.0,5.0,5.0
2022-01-10,1,1,Action Figure,Toys,117,1870.83,702.0,6.0,6.0
2022-01-10,2,2,Animal Figures,Toys,26,337.74,78.0,3.0,3.0
2022-01-10,4,4,Chutes & Ladders,Games,22,285.78000000000003,66.0,3.0,3.0
2022-01-10,6,6,Colorbuds,Electronics,269,4032.31,2152.0,8.0,8.0
2022-01-10,7,7,Dart Gun,Sports & Outdoors,17,271.83,68.0,4.0,4.0
2022-01-10,8,8,Deck Of Cards,Games,76,531.24,228.0,3.0,3.0
2022-01-10,9,9,Dino Egg,Toys,77,846.23,77.0,1.0,1.0
2022-01-10,10,10,Dinosaur Figures,Toys,12,179.88,48.0,4.0,4.0
2022-01-10,14,14,Glass Marbles,Games,3,32.97,15.0,5.0,5.0
2022-01-10,17,17,Kids Makeup Kit,Art & Crafts,27,539.7299999999999,162.0,6.0,6.0
2022-01-10,21,21,Mini Ping Pong Set,Sports & Outdoors,16,159.84,48.0,3.0,3.0
2022-01-10,24,24,Nerf Gun,Sports & Outdoors,9,179.91,45.0,5.0,5.0
2022-01-10,25,25,Playdoh Can,Art & Crafts,23,68.77000000000001,23.0,1.0,1.0
2022-01-10,27,27,Playdoh Toolkit,Art & Crafts,21,104.79,21.0,1.0,1.0
2022-01-10,30,30,Rubik's Cube,Games,44,879.56,88.0,2.0,2.0
2022-01-10,31,31,Splash Balls,Sports & Outdoors,46,413.54,46.0,1.0,1.0
2022-01-10,33,33,Teddy Bear,Toys,35,454.65000000000003,70.0,2.0,2.0
2022-01-10,34,34,Toy Robot,Electronics,20,519.8,100.0,5.0,5.0
2022-01-11,1,1,Action Figure,Toys,99,1583.01,594.0,6.0,6.0
2022-01-11,2,2,Animal Figures,Toys,51,662.49,153.0,3.0,3.0
2022-01-11,6,6,Colorbuds,Electronics,249,3732.51,1992.0,8.0,8.0
2022-01-11,7,7,Dart Gun,Sports & Outdoors,20,319.8,80.0,4.0,4.0
2022-01-11,8,8,Deck Of Cards,Games,144,1006.56,432.0,3.0,3.0
2022-01-11,9,9,Dino Egg,Toys,49,538.51,49.0,1.0,1.0
2022-01-11,14,14,Glass Marbles,Games,9,98.91,45.0,5.0,5.0
2022-01-11,17,17,Kids Makeup Kit,Art & Crafts,22,439.78,132.0,6.0,6.0
2022-01-11,18,18,Lego Bricks,Toys,37,1479.63,185.0,5.0,5.0
2022-01-11,20,20,Mini Basketball Hoop,Sports & Outdoors,2,49.98,32.0,16.0,16.0
2022-01-11,21,21,Mini Ping Pong Set,Sports & Outdoors,14,139.85999999999999,42.0,3.0,3.0
2022-01-11,22,22,Monopoly,Games,7,139.92999999999998,42.0,6.0,6.0
2022-01-11,24,24,Nerf Gun,Sports & Outdoors,50,999.4999999999999,250.0,5.0,5.0
2022-01-11,25,25,Playdoh Can,Art & Crafts,21,62.790000000000006,21.0,1.0,1.0
2022-01-11,27,27,Playdoh Toolkit,Art & Crafts,7,34.93,7.0,1.0,1.0
2022-01-11,30,30,Rubik's Cube,Games,48,959.52,96.0,2.0,2.0
2022-01-11,31,31,Splash Balls,Sports & Outdoors,34,305.66,34.0,1.0,1.0
2022-01-11,33,33,Teddy Bear,Toys,16,207.84,32.0,2.0,2.0
2022-01-11,34,34,Toy Robot,Electronics,9,233.91,45.0,5.0,5.0
2022-01-12,1,1,Action Figure,Toys,63,1007.37,378.0,6.0,6.0
2022-01-12,2,2,Animal Figures,Toys,36,467.64,108.0,3.0,3.0
2022-01-12,5,5,Classic Dominoes,Games,15,149.85,30.0,2.0,2.0
2022-01-12,6,6,Colorbuds,Electronics,209,3132.91,1672.0,8.0,8.0
2022-01-12,7,7,Dart Gun,Sports & Outdoors,102,1630.98,408.0,4.0,4.0
2022-01-12,8,8,Deck Of Cards,Games,112,782.88,336.0,3.0,3.0
2022-01-12,9,9,Dino Egg,Toys,81,890.19,81.0,1.0,1.0
2022-01-12,14,14,Glass Marbles,Games,7,76.93,35.0,5.0,5.0
2022-01-12,17,17,Kids Makeup Kit,Art & Crafts,7,139.92999999999998,42.0,6.0,6.0
2022-01-12,18,18,Lego Bricks,Toys,31,1239.69,155.0,5.0,5.0
2022-01-12,21,21,Mini Ping Pong Set,Sports & Outdoors,8,79.92,24.0,3.0,3.0
2022-01-12,24,24,Nerf Gun,Sports & Outdoors,68,1359.32,340.0,5.0,5.0
2022-01-12,25,25,Playdoh Can,Art & Crafts,27,80.73,27.0,1.0,1.0
2022-01-12,27,27,Playdoh Toolkit,Art & Crafts,62,309.38,62.0,1.0,1.0
2022-01-12,30,30,Rubik's Cube,Games,47,939.53,94.0,2.0,2.0
2022-01-12,31,31,Splash Balls,Sports & Outdoors,39,350.61,39.0,1.0,1.0
2022-01-12,34,34,Toy Robot,Electronics,8,207.92,40.0,5.0,5.0
2022-01-13,1,1,Action Figure,Toys,129,2062.71,774.0,6.0,6.0
2022-01-13,2,2,Animal Figures,Toys,59,766.41,177.0,3.0,3.0
2022-01-13,3,3,Barrel O' Slime,Art & Crafts,3,11.97,6.0,2.0,2.0
2022-01-13,5,5,Classic Dominoes,Games,13,129.87,26.0,2.0,2.0
2022-01-13,6,6,Colorbuds,Electronics,324,4856.76,2592.0,8.0,8.0
2022-01-13,7,7,Dart Gun,Sports & Outdoors,39,623.61,156.0,4.0,4.0
2022-01-13,8,8,Deck Of Cards,Games,120,838.8000000000001,360.0,3.0,3.0
2022-01-13,9,9,Dino Egg,Toys,76,835.24,76.0,1.0,1.0
2022-01-13,10,10,Dinosaur Figures,Toys,5,74.95,20.0,4.0,4.0
2022-01-13,14,14,Glass Marbles,Games,36,395.64,180.0,5.0,5.0
2022-01-13,17,17,Kids Makeup Kit,Art & Crafts,32,639.68,192.0,6.0,6.0
2022-01-13,18,18,Lego Bricks,Toys,84,3359.1600000000003,420.0,5.0,5.0
2022-01-13,21,21,Mini Ping Pong Set,Sports & Outdoors,42,419.58,126.0,3.0,3.0
2022-01-13,24,24,Nerf Gun,Sports & Outdoors,36,719.64,180.0,5.0,5.0
2022-01-13,25,25,Playdoh Can,Art & Crafts,74,221.26000000000002,74.0,1.0,1.0
2022-01-13,27,27,Playdoh Toolkit,Art & Crafts,64,319.36,64.0,1.0,1.0
2022-01-13,30,30,Rubik's Cube,Games,76,1519.2399999999998,152.0,2.0,2.0
2022-01-13,31,31,Splash Balls,Sports & Outdoors,20,179.8,20.0,1.0,1.0
2022-01-13,33,33,Teddy Bear,Toys,32,415.68,64.0,2.0,2.0
2022-01-13,34,34,Toy Robot,Electronics,24,623.76,120.0,5.0,5.0
2022-01-14,1,1,Action Figure,Toys,194,3102.06,1164.0,6.0,6.0
2022-01-14,2,2,Animal Figures,Toys,32,415.68,96.0,3.0,3.0
2022-01-14,4,4,Chutes & Ladders,Games,12,155.88,36.0,3.0,3.0
2022-01-14,5,5,Classic Dominoes,Games,6,59.94,12.0,2.0,2.0
2022-01-14,6,6,Colorbuds,Electronics,246,3687.54,1968.0,8.0,8.0
2022-01-14,7,7,Dart Gun,Sports & Outdoors,51,815.49,204.0,4.0,4.0
2022-01-14,8,8,Deck Of Cards,Games,228,1593.72,684.0,3.0,3.0
2022-01-14,9,9,Dino Egg,Toys,127,1395.73,127.0,1.0,1.0
2022-01-14,10,10,Dinosaur Figures,Toys,17,254.83,68.0,4.0,4.0
2022-01-14,14,14,Glass Marbles,Games,16,175.84,80.0,5.0,5.0
2022-01-14,17,17,Kids Makeup Kit,Art & Crafts,15,299.84999999999997,90.0,6.0,6.0
2022-01-14,18,18,Lego Bricks,Toys,60,2399.4,300.0,5.0,5.0
2022-01-14,21,21,Mini Ping Pong Set,Sports & Outdoors,74,739.26,222.0,3.0,3.0
2022-01-14,22,22,Monopoly,Games,9,179.91,54.0,6.0,6.0
2022-01-14,24,24,Nerf Gun,Sports & Outdoors,47,939.53,235.0,5.0,5.0
2022-01-14,25,25,Playdoh Can,Art & Crafts,53,158.47,53.0,1.0,1.0
2022-01-14,27,27,Playdoh Toolkit,Art & Crafts,102,508.98,102.0,1.0,1.0
2022-01-14,30,30,Rubik's Cube,Games,87,1739.1299999999999,174.0,2.0,2.0
2022-01-14,31,31,Splash Balls,Sports & Outdoors,87,782.13,87.0,1.0,1.0
2022-01-14,34,34,Toy Robot,Electronics,48,1247.52,240.0,5.0,5.0
2022-01-15,1,1,Action Figure,Toys,194,3102.06,1164.0,6.0,6.0
2022-01-15,2,2,Animal Figures,Toys,69,896.31,207.0,3.0,3.0
2022-01-15,3,3,Barrel O' Slime,Art & Crafts,10,39.900000000000006,20.0,2.0,2.0
2022-01-15,4,4,Chutes & Ladders,Games,12,155.88,36.0,3.0,3.0
2022-01-15,5,5,Classic Dominoes,Games,9,89.91,18.0,2.0,2.0
2022-01-15,6,6,Colorbuds,Electronics,325,4871.75,2600.0,8.0,8.0
2022-01-15,7,7,Dart Gun,Sports & Outdoors,118,1886.82,472.0,4.0,4.0
2022-01-15,8,8,Deck Of Cards,Games,371,2593.29,1113.0,3.0,3.0
2022-01-15,9,9,Dino Egg,Toys,104,1142.96,104.0,1.0,1.0
2022-01-15,10,10,Dinosaur Figures,Toys,36,539.64,144.0,4.0,4.0
2022-01-15,14,14,Glass Marbles,Games,67,736.33,335.0,5.0,5.0
2022-01-15,17,17,Kids Makeup Kit,Art & Crafts,65,1299.35,390.0,6.0,6.0
2022-01-15,18,18,Lego Bricks,Toys,68,2719.32,340.0,5.0,5.0
2022-01-15,21,21,Mini Ping Pong Set,Sports & Outdoors,25,249.75,75.0,3.0,3.0
2022-01-15,24,24,Nerf Gun,Sports & Outdoors,80,1599.1999999999998,400.0,5.0,5.0
2022-01-15,25,25,Playdoh Can,Art & Crafts,54,161.46,54.0,1.0,1.0
2022-01-15,27,27,Playdoh Toolkit,Art & Crafts,86,429.14000000000004,86.0,1.0,1.0
2022-01-15,30,30,Rubik's Cube,Games,44,879.56,88.0,2.0,2.0
2022-01-15,31,31,Splash Balls,Sports & Outdoors,50,449.5,50.0,1.0,1.0
2022-01-15,33,33,Teddy Bear,Toys,25,324.75,50.0,2.0,2.0
2022-01-15,34,34,Toy Robot,Electronics,2,51.98,10.0,5.0,5.0
2022-01-16,1,1,Action Figure,Toys,36,575.64,216.0,6.0,6.0
2022-01-16,2,2,Animal Figures,Toys,27,350.73,81.0,3.0,3.0
2022-01-16,4,4,Chutes & Ladders,Games,12,155.88,36.0,3.0,3.0
2022-01-16,6,6,Colorbuds,Electronics,267,4002.33,2136.0,8.0,8.0
2022-01-16,7,7,Dart Gun,Sports & Outdoors,36,575.64,144.0,4.0,4.0
2022-01-16,8,8,Deck Of Cards,Games,83,580.17,249.0,3.0,3.0
2022-01-16,9,9,Dino Egg,Toys,42,461.58,42.0,1.0,1.0
2022-01-16,10,10,Dinosaur Figures,Toys,11,164.89000000000001,44.0,4.0,4.0
2022-01-16,14,14,Glass Marbles,Games,27,296.73,135.0,5.0,5.0
2022-01-16,17,17,Kids Makeup Kit,Art & Crafts,10,199.89999999999998,60.0,6.0,6.0
2022-01-16,18,18,Lego Bricks,Toys,42,1679.5800000000002,210.0,5.0,5.0
2022-01-16,24,24,Nerf Gun,Sports & Outdoors,15,299.84999999999997,75.0,5.0,5.0
